Jeremy | Gerrit Cole | P | colege01
Jeremy | Trevor Rogers | P | rogertr01
Jeremy | Shane McClanahan | P | mcclash01
Jeremy | Chris Bassitt | P | bassich01
Jeremy | Dustin May | P | 
Jeremy | Ranger Suarez | P | suarera01
Jeremy | Mitch Haniger | Bat | hanigmi01
Jeremy | Ryan McMahon | Bat | mcmahry01
Jeremy | Anthony Volpe | Bat | 
Jeremy | Brennen Davis | Bat | 
Jeremy | Gleyber Torres | Bat | torregl01
Jeremy | Alex Kirilloff | Bat | 
Jeremy | Andrew Vaughn | Bat | vaughan01
Jeremy | Bo Bichette | Bat | bichebo01
Jeremy | Brandon Lowe | Bat | lowebr01
Jeremy | Cristian Hernandez | Bat | 
Jeremy | Dylan Carlson | Bat | carlsdy01
Jeremy | Eloy Jimenez | Bat | jimenel02
Jeremy | Jarred Kelenic | Bat | kelenja01
Jeremy | Kyle Tucker | Bat | tuckeky01
Jeremy | Luis Robert | Bat | roberlu01
Jeremy | Noelvi Marte | Bat | 
Jeremy | Spencer Torkelson | Bat | 
Jeremy | Vladimir Guerrero Jr. | Bat | guerrvl02
Jeremy | Wander Franco | Bat | francwa01
Jeremy | Yordan Álvarez | Bat | alvaryo01
Jeremy | Aroldis Chapman | P | chapmar01
Jeremy | Asa Lacy | P | 
Jeremy | Blake Snell | P | snellbl01
Jeremy | Chris Paddack | P | paddach01
Jeremy | Corbin Burnes | P | burneco01
Jeremy | Emerson Hancock | P | 
Jeremy | George Kirby | P | 
Jeremy | Grayson Rodriguez | P | 
Jeremy | Jack Leiter | P | 
Jeremy | Jesus Luzardo | P | luzarje01
Jeremy | Logan Gilbert | P | gilbelo01
Jeremy | Luis Severino | P | severlu01
Jeremy | Max Meyer | P | 
Jeremy | Nate Pearson | P | pearsna01
Jeremy | Sixto Sanchez | P | 
Jeremy | Tony Gonsolin | P | gonsoto01
Ryan | Austin Riley | Bat | rileyau01
Ryan | Riley Greene | Bat | 
Ryan | Luis Garcia | P | garcilu05
Ryan | Jonathan India | Bat | indiajo01
Ryan | Hunter Greene | P | 
Ryan | Edward Cabrera | P | cabreed02
Ryan | Oneil Cruz | Bat | cruzon01
Ryan | Patrick Sandoval | P | sandopa02
Ryan | Austin Martin | Bat | 
Ryan | Bobby Witt Jr. | Bat | wittbo02
Ryan | Carter Kieboom | Bat | kieboca01
Ryan | Cavan Biggio | Bat | biggica01
Ryan | Christian Yelich | Bat | yelicch01
Ryan | Franmil Reyes | Bat | reyesfr01
Ryan | Garrett Mitchell | Bat | 
Ryan | Jo Adell | Bat | adelljo01
Ryan | Jose Ramirez | Bat | ramirjo01
Ryan | Luis Arraez | Bat | arraelu01
Ryan | Marco Luciano | Bat | 
Ryan | Ramon Laureano | Bat | laurera01
Ryan | Rhys Hoskins | Bat | hoskirh01
Ryan | Royce Lewis | Bat | 
Ryan | Trea Turner | Bat | turnetr01
Ryan | Trent Grisham | Bat | grishtr01
Ryan | Victor Robles | Bat | roblevi01
Ryan | Brady Singer | P | singebr01
Ryan | Brandon Woodruff | P | woodrbr01
Ryan | Daniel Lynch | P | lynchda02
Ryan | Dylan Bundy | P | bundydy01
Ryan | Eric Lauer | P | lauerer01
Ryan | Freddy Peralta | P | peralfr01
Ryan | German Marquez | P | marquge01
Ryan | Joe Musgrove | P | musgrjo01
Ryan | Jose Berrios | P | berrijo01
Ryan | Josiah Gray | P | grayjo03
Ryan | Luis Castillo | P | castilu02
Ryan | MacKenzie Gore | P | gorema01
Ryan | Nick Lodolo | P | 
Ryan | Pablo Lopez | P | lopezpa01
Ryan | Quinn Priester | P | 
Ryan | Tyler Mahle | P | mahlety01
Ryan | Zac Gallen | P | galleza01
Justin | Justin Verlander | P | verlaju01
Justin | Nathan Eovaldi | P | eovalna01
Justin | Marcus Semien | Bat | semiema01
Justin | Anthony DeSclafani | P | desclan01
Justin | Raisel Iglesias | P | iglesra01
