Jeremy | Gerrit Cole | P | 
Jeremy | Trevor Rogers | P | 
Jeremy | Shane McClanahan | P | 
Jeremy | Chris Bassitt | P | 
Jeremy | Dustin May | P | 
Jeremy | Ranger Suarez | P | 
Jeremy | Mitch Haniger | bat | 
Jeremy | Ryan McMahon | bat | 
Jeremy | Anthony Volpe  | bat | 
Jeremy | Brennen Davis | bat | 
Jeremy | Gleyber Torres | bat | 
Jeremy | Allex Kirilloff | bat | 
Jeremy | Andrew Vaughn | bat | 
Jeremy | Bo Bichette | bat | 
Jeremy | Brandon Lowe	 | bat | 
Jeremy | Cristian Hernandez | bat | 
Jeremy | Dylan Carlson | bat | 
Jeremy | Eloy Jimenez | bat | 
Jeremy | Jarred Kelenic | bat | 
Jeremy | Kyle Tucker | bat | 
Jeremy | Luis Robert | bat | 
Jeremy | Noelvi Marte | bat | 
Jeremy | Spencer Torkelson | bat | 
Jeremy | Vladimir Guerrero Jr. | bat | 
Jeremy | Wander Franco | bat | 
Jeremy | Yordan Alvarez | bat | 
Jeremy | Aroldis Chapman | P | 
Jeremy | Asa Lacy | P | 
Jeremy | Blake Snell | P | 
Jeremy | Chris Paddack | P | 
Jeremy | Corbin Burnes | P | 
Jeremy | Emerson Hancock | p | 
Jeremy | George Kirby | P | 
Jeremy | Grayson Rodriguez | P | 
Jeremy | Jack Leiter | P | 
Jeremy | Jesus Luzardo | P | 
Jeremy | Logan Gilbert | P | 
Jeremy | Luis Severino | P | 
Jeremy | Max Meyer | P | 
Jeremy | Nate Pearson | P | 
Jeremy | Sixto Sanchez | P | 
Jeremy | Tony Gonsolin | P | 
Ryan | Austin Riley | bat | 
Ryan | Riley Greene | bat | 
Ryan | Luis Garcia (HOU) | P | 
Ryan | Jonathan India | bat | 
Ryan | Hunter Greene | P | 
Ryan | Edward Cabrera | P | 
Ryan | Oneil Cruz | bat | 
Ryan | Patrick Sandoval | P | 
Ryan | Austin Martin | bat | 
Ryan | Bobby Witt Jr. | bat | 
Ryan | Carter Kieboom | bat | 
Ryan | Cavan Biggio | bat | 
Ryan | Christian Yelich | bat | 
Ryan | Franmil Reyes | bat | 
Ryan | Garrett Mitchell | bat | 
Ryan | Jo Adell | bat | 
Ryan | Jose Ramirez | bat | 
Ryan | Luis Arraez | bat | 
Ryan | Marco Luciano | bat | 
Ryan | Ramon Laureano | bat | 
Ryan | Rhys Hoskins | bat | 
Ryan | Royce Lewis | bat | 
Ryan | Trea Turner | bat | 
Ryan | Trent Grisham | bat | 
Ryan | Victor Robles | bat | 
Ryan | Brady Singer | P | 
Ryan | Brandon Woodruff | P | 
Ryan | Daniel Lynch | P | 
Ryan | Dylan Bundy | P | 
Ryan | Eric Lauer | P | 
Ryan | Freddy Peralta | P | 
Ryan | German Marquez | P | 
Ryan | Joe Musgrove | P | 
Ryan | Jose Berrios | P | 
Ryan | Josiah Gray | P | 
Ryan | Luis Castillo | P | 
Ryan | Mackenzie Gore | P | 
Ryan | Nick Lodolo | P | 
Ryan | Pablo Lopez | P | 
Ryan | Quinn Priester | P | 
Ryan | Tyler Mahle | P | 
Ryan | Zac Gallen | P | 
Justin | Justin Verlander | P | 
Justin | Nathan Eovaldi | P | 
Justin | Marcus Semien | bat | 
Justin | Anthony DeSclafani | P | 
Justin | Raisel Iglesias | P | 
Justin | Mike Minor | P | 
Justin | Cal Quantrill | P | 
Justin | Nathaniel Lowe | bat | 
Justin | Adam Wainwright | P | 
Justin | Alex Bregman | bat | 
Justin | Pete Alonso | bat | 
Justin | Fernando Tatis, Jr. | bat | 
Justin | Freddie Freeman | bat | 
Justin | Ketel Marte | bat | 
Justin | Gavin Lux | bat | 
Justin | George Springer | bat | 
Justin | Noah Syndergaard | P | 
Justin | Whit Merrifield | bat | 
Justin | Max Fried | P | 
Justin | Josh Hader | P | 
Justin | Julio Rodriguez | bat | 
Justin | Josh Donaldson | bat | 
Justin | Paul Goldschmidt | bat | 
Justin | Bryan Reynolds | bat | 
Justin | Charlie Blackmon | bat | 
Justin | Starling Marte | bat | 
Justin | Alex Verdugo | bat | 
Justin | Edwin Diaz | P | 
Justin | Brad Keller | P | 
Justin | Willy Adames | bat | 
Justin | Dallas Keuchel | P | 
Justin | Josh Lindblom | P | 
Justin | Joey Votto | bat | 
Justin | Jean Segura | bat | 
Justin | Yusei Kikuchi | P | 
Justin | Deivi Garcia | P | 
Justin | Nolan Jones | bat | 
Justin | Jordan Balazov | P | 
Justin | CJ Abrams | bat | 
Justin | Jon Gray | P | 
Justin | Kyle Freeland | P | 
Justin | Kyle Wright | P | 
Matt | Randy Arozarena | bat | 
Matt | Cody Bellinger | bat | 
Matt | DJ LeMahieu | bat | 
Matt | Adley Rutschman  | bat | 
Matt | Carlos Santana | bat | 
Matt | Daniel Vogelbach | bat | 
Matt | David Fletcher | bat | 
Matt | Eduardo Escobar | bat | 
Matt | Geraldo Perdomo | bat | 
Matt | J.T. Realmuto | bat | 
Matt | Jasson Dominguez | bat | 
